RANK,      NAME,       POSE,      SCORE
       1,              DB04690,     3,   -8.230
       2,              DB04690,     2,   -8.230
       3,              DB04690,     1,   -8.230
       4,              DB04690,     6,   -8.220
       5,              DB04690,     5,   -8.220
       6,              DB04690,     4,   -8.220
       7,              DB04690,     7,   -8.210
       8,              DB04690,     8,   -8.210
       9,              DB04690,     9,   -8.200
      10,              DB04690,    10,   -8.190
